Parameter,Slope,Bias,Scale_to_Roll_angle
Roll_angle_1,0.011250000001313938,-407.5425000475954,
Acc_Roll_1,0.011321544070370749,-408.3827098259121,0.9936807145198466
Gyro_Roll_1,0.01189004005708744,-391.6511984165682,0.946170067325216
Roll_angle_2,0.011250000001313938,-540.742500063159,
Acc_Roll_2,0.01123657274752042,-537.3571715313893,1.0011949598952652
Gyro_Roll_2,0.010815863128338802,-580.8156366606697,1.0401389022608514
