Parameter,Slope,Bias,Scale_to_Roll_angle
Roll_angle_1,0.011250000001313938,-239.74875002799803,
Acc_Roll_1,0.011276788456772553,-238.80379440491097,0.9976244605845623
Gyro_Roll_1,0.03349435123748749,-670.8888127381509,0.33587753115584257
Roll_angle_2,0.011250000001313938,-211.62375002471978,
Acc_Roll_2,0.011230292926161229,-208.91673102605952,1.001754813991254
Gyro_Roll_2,0.030263080036353397,-526.5566614947122,0.371740086858308
