,0,180,90,-90
Time,7497.5,29308.5,52963.5,17968.5
Roll_angle,0.0,180.0,90.0,-90.0
Acc_low_X,0.009527478535970035,0.002282442728678381,0.013799939473470033,-0.002651802062988211
Acc_low_Y,0.0003598060607910411,-0.002776505788167243,0.999119571685791,-1.0039701906840006
Acc_low_Z,1.0074167887369792,-1.0184075927734375,-0.0019894612630208335,0.0066541748046875
Gyro_low_X,1.511232235590617,1.2560108680725097,1.418285679181417,1.564937083085378
Gyro_low_Y,-0.16524733606974285,-0.18065192031860353,-0.1546620977719625,-0.19887583684921264
Gyro_low_Z,-2.7345824370384215,-2.3786485997041065,-2.6447860013643902,-2.8847656456629434
Acc_Roll,0.02048957748509322,-0.15621089450161282,89.17402744293213,-89.55810717010498
Gyro_Roll,17.806016606966654,550.1054629516601,327.88449498494464,-206.80864435831705
Kalman_Roll,0.6474658978073857,0.3863425024350484,89.7874062576294,-88.88322998301189
