Time,Roll_angle,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_Roll,Gyro_Roll,Kalman_Roll
68491,-90.0,-0.0008974075317382812,-1.000821590423584,-0.0058441162109375,1.5653338432312012,-0.26804637908935547,-3.089564800262451,-89.66151428222656,-128.53509521484375,-89.0591049194336
68496,-89.9437484741211,-0.011883735656738281,-1.044766902923584,-0.0126800537109375,-49.3964958190918,0.18996906280517578,-2.34147310256958,-89.04705047607422,-128.78207397460938,-89.3031234741211
68501,-89.88749694824219,0.004229545593261719,-1.016934871673584,-0.0038909912109375,4.725639820098877,0.8922591209411621,-3.7613203525543213,-89.67620086669922,-128.75845336914062,-89.2840347290039
68506,-89.83125305175781,0.01643657684326172,-0.988126277923584,0.0041656494140625,20.847776412963867,-1.0619392395019531,-2.7994883060455322,-89.01689910888672,-128.6542205810547,-89.17793273925781
68511,-89.7750015258789,-0.0013856887817382812,-1.004971981048584,-0.0107269287109375,-1.457566738128662,-0.5428552627563477,-3.19643497467041,-89.38337707519531,-128.66151428222656,-89.18748474121094
68516,-89.71875,-0.004559516906738281,-0.997891902923584,-0.0129241943359375,5.977548122406006,0.17470169067382812,-2.5704805850982666,-89.2131576538086,-128.63162231445312,-89.15823364257812
68521,-89.6624984741211,0.004473686218261719,-0.982511043548584,0.0102691650390625,19.153120040893555,-0.3901839256286621,-2.9674272537231445,-89.34681701660156,-128.53585815429688,-89.06571960449219
68526,-89.60625457763672,0.0008115768432617188,-0.988126277923584,0.0202789306640625,14.527166366577148,-0.7107944488525391,-2.3872745037078857,-88.8233642578125,-128.46322631835938,-88.99114227294922
68531,-89.55000305175781,0.0020322799682617188,-0.987149715423584,0.0156402587890625,15.32105827331543,-0.1917104721069336,-3.2117018699645996,-89.08466339111328,-128.38662719726562,-88.9164810180664
68536,-89.4937515258789,0.0017881393432617188,-1.000577449798584,0.0151519775390625,8.771440505981445,-0.45125246047973633,-3.0437631607055664,-89.12640380859375,-128.3427734375,-88.87552642822266
68541,-89.4375,0.007891654968261719,-0.968350887298584,0.0153961181640625,38.72563934326172,-0.6497259140014648,-3.455976963043213,-88.97644805908203,-128.14913940429688,-88.68526458740234
68546,-89.3812484741211,-0.0023622512817382812,-0.985929012298584,0.0134429931640625,13.076784133911133,-0.9703359603881836,-2.3262059688568115,-89.20686340332031,-128.08375549316406,-88.62659454345703
68551,-89.32499694824219,-0.009198188781738281,-1.005460262298584,0.0136871337890625,2.893578052520752,-0.17644309997558594,-3.0284957885742188,-89.06036376953125,-128.0692901611328,-88.61725616455078
68556,-89.26875305175781,-0.0011415481567382812,-0.963712215423584,0.0022125244140625,48.572967529296875,-0.466519832611084,-2.9979615211486816,-89.85198211669922,-127.82642364501953,-88.39128112792969
68561,-89.2125015258789,-0.007000923156738281,-0.979581356048584,0.0185699462890625,9.687471389770508,-1.2298784255981445,-1.8834576606750488,-88.8393783569336,-127.77798461914062,-88.34851837158203
68566,-89.15625,-0.007733345031738281,-1.010587215423584,0.0173492431640625,2.6340365409851074,-0.06957292556762695,-2.601015090942383,-88.92321014404297,-127.76481628417969,-88.34207153320312
68571,-89.0999984741211,0.009356498718261719,-0.965421199798584,0.0232086181640625,65.85541534423828,-1.0772066116333008,-3.135366201400757,-88.51522827148438,-127.43553924560547,-88.01853942871094
68576,-89.04374694824219,-0.008709907531738281,-0.985929012298584,0.0224761962890625,2.954646587371826,-1.3825502395629883,-2.2193355560302734,-88.5994644165039,-127.42076873779297,-88.01058197021484
68581,-88.98749542236328,-0.005047798156738281,-0.990567684173584,0.0124664306640625,14.069150924682617,0.43424367904663086,-3.3338394165039062,-89.22210693359375,-127.35042572021484,-87.95489501953125
68586,-88.9312515258789,0.0012998580932617188,-0.961026668548584,0.0207672119140625,61.42793273925781,-1.2909469604492188,-2.9674272537231445,-88.7596435546875,-127.04328918457031,-87.66046905517578
68591,-88.875,-0.010663032531738281,-0.982511043548584,0.0131988525390625,14.98518180847168,-0.9398021697998047,-2.4330761432647705,-89.01060485839844,-126.9683609008789,-87.60183715820312
68596,-88.8187484741211,-0.004071235656738281,-1.021085262298584,0.0234527587890625,-4.098788261413574,0.34264087677001953,-2.707885265350342,-88.66456604003906,-126.98885345458984,-87.63424682617188
68601,-88.76249694824219,0.006426811218261719,-0.968350887298584,0.0361480712890625,92.43556213378906,-1.184077262878418,-2.5094120502471924,-87.82867431640625,-126.52667236328125,-87.17957305908203
68606,-88.70625305175781,-0.0008974075317382812,-0.972989559173584,0.0390777587890625,56.05388641357422,-2.023771286010742,-2.6773509979248047,-87.6994857788086,-126.24640655517578,-86.90845489501953
68611,-88.6500015258789,-0.007977485656738281,-1.021817684173584,0.0322418212890625,-5.167490482330322,0.3273735046386719,-2.310938596725464,-88.13825988769531,-126.27224731445312,-86.94805908203125
68616,-88.59375,0.007159233093261719,-0.962979793548584,0.0354156494140625,77.42793273925781,-1.000870704650879,-2.7231523990631104,-87.85121154785156,-125.8851089477539,-86.57567596435547
68621,-88.5374984741211,-0.009930610656738281,-0.992276668548584,0.0249176025390625,-0.5873374938964844,-1.5962905883789062,-1.8681905269622803,-88.4515380859375,-125.88804626464844,-86.60002899169922
68626,-88.48124694824219,-0.007000923156738281,-1.032804012298584,0.0312652587890625,-17.320161819458008,0.4953122138977051,-3.2117018699645996,-88.22315216064453,-125.97464752197266,-86.7042007446289
68631,-88.42500305175781,0.010577201843261719,-0.967130184173584,0.0417633056640625,56.96991729736328,-1.0772066116333008,-3.5323128700256348,-87.44937896728516,-125.6897964477539,-86.4311294555664
68636,-88.3687515258789,0.0030088424682617188,-1.000577449798584,0.0390777587890625,4.191288471221924,-1.2451457977294922,-2.1888012886047363,-87.75682830810547,-125.66883850097656,-86.42556762695312
68641,-88.3125,-0.0026063919067382812,-1.045987606048584,0.0337066650390625,-17.808712005615234,0.43424367904663086,-3.349106788635254,-88.14878845214844,-125.75788116455078,-86.53329467773438
68646,-88.2562484741211,0.015215873718261719,-0.973477840423584,0.0366363525390625,68.03861999511719,-0.5428552627563477,-3.1048316955566406,-87.66641235351562,-125.41768646240234,-86.20994567871094
68651,-88.20000457763672,-0.02018451690673828,-1.008878231048584,-0.0080413818359375,2.3744940757751465,-1.6268253326416016,-2.066663980484009,-88.7662582397461,-125.40581512451172,-86.2274398803711
68656,-88.14375305175781,-0.010174751281738281,-0.953214168548584,0.0036773681640625,-13.121688842773438,0.9227933883666992,-3.089564800262451,-89.34972381591797,-125.47142028808594,-86.32799530029297
68661,-88.0875015258789,-0.01749897003173828,-0.987882137298584,-0.0026702880859375,99.88594818115234,-1.1993436813354492,-3.349106788635254,-88.97344207763672,-124.97199249267578,-85.8645248413086
68666,-88.03125,-0.02457904815673828,-1.008145809173584,-0.0207366943359375,7.427929401397705,0.4495110511779785,-2.3262059688568115,-88.17298889160156,-124.93485260009766,-85.85420227050781
68671,-87.9749984741211,-0.006512641906738281,-0.965909481048584,0.0097808837890625,2.114952564239502,1.075465202331543,-3.1811676025390625,-89.3030014038086,-124.92427825927734,-85.88318634033203
68676,-87.91874694824219,-0.011639595031738281,-0.992520809173584,0.0056304931640625,84.3592300415039,-1.9321680068969727,-1.8223891258239746,-89.25363159179688,-124.50247955322266,-85.50474548339844
68681,-87.86250305175781,-0.02189350128173828,-1.014981746673584,-0.0229339599609375,3.580601215362549,0.06783151626586914,-3.165900468826294,-88.21075439453125,-124.48457336425781,-85.51798248291016
68686,-87.8062515258789,-0.004803657531738281,-0.959805965423584,0.0066070556640625,7.076784610748291,0.7090530395507812,-2.5704805850982666,-89.51237487792969,-124.44918823242188,-85.52867126464844
68691,-87.75,-0.014569282531738281,-0.994718074798584,0.0014801025390625,77.58060455322266,-1.5810232162475586,-1.8376562595367432,-89.15654754638672,-124.06128692626953,-85.18668365478516
68696,-87.6937484741211,-0.02579975128173828,-1.004971981048584,0.0014801025390625,11.030982971191406,0.29683923721313477,-2.524679183959961,-88.5270004272461,-124.00613403320312,-85.17035675048828
68701,-87.63749694824219,-0.006756782531738281,-0.963712215423584,0.0144195556640625,5.4584641456604,0.8311901092529297,-2.738419532775879,-89.0533447265625,-123.97884368896484,-85.18777465820312
68706,-87.58124542236328,-0.01749897003173828,-1.000821590423584,0.0141754150390625,72.03861999511719,-1.1688098907470703,-2.1888012886047363,-88.71096801757812,-123.61865234375,-84.87198638916016
68711,-87.5250015258789,-0.01652240753173828,-0.993009090423584,-0.0104827880859375,25.015714645385742,-0.2527790069580078,-2.585747718811035,-88.87113189697266,-123.49357604980469,-84.7940673828125
68716,-87.46875,-0.010418891906738281,-0.952237606048584,0.0222320556640625,9.672203063964844,0.5258469581604004,-2.417809009552002,-88.52302551269531,-123.4452133178711,-84.78889465332031
68721,-87.4124984741211,-0.01994037628173828,-0.998380184173584,0.0180816650390625,75.7790756225586,-1.3825502395629883,-1.8987250328063965,-88.45559692382812,-123.06631469726562,-84.45625305175781
