Time,Roll_angle,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_Roll,Gyro_Roll,Kalman_Roll
20706,-65.5875015258789,-2.94775390625,-3.777587890625,-4.47802734375,-47.96946716308594,-7.068702220916748,-1.4503816366195679,-35.169368743896484,75.81426239013672,-54.597434997558594
20711,-65.70000457763672,-2.925048828125,-3.705810546875,-4.515869140625,45.96946716308594,-6.671755790710449,2.3053436279296875,-34.557430267333984,76.04411315917969,-54.14107894897461
20716,-65.8125,-2.960693359375,-3.632080078125,-4.4736328125,-173.0381622314453,-4.931297779083252,3.221374034881592,-34.099727630615234,75.17892456054688,-54.7672233581543
20721,-65.98124694824219,-2.9404296875,-3.83740234375,-4.46044921875,-31.41984748840332,-7.41984748840332,-1.1297709941864014,-35.689144134521484,75.0218276977539,-54.70438766479492
20726,-66.09375,-2.91015625,-3.68359375,-4.488525390625,38.183204650878906,-5.603053569793701,2.6870229244232178,-34.55137252807617,75.2127456665039,-54.28522491455078
20731,-66.20625305175781,-2.958984375,-3.703857421875,-4.445068359375,-73.72518920898438,-6.335877895355225,0.21374045312404633,-34.74606704711914,74.8441162109375,-54.42622375488281
20736,-66.3187484741211,-2.9130859375,-3.732666015625,-4.53857421875,4.29007625579834,-7.343511581420898,2.2290077209472656,-34.68820571899414,74.86557006835938,-54.1793327331543
20741,-66.4312515258789,-2.906494140625,-3.64990234375,-4.463623046875,3.679389238357544,-7.923664093017578,2.580152750015259,-34.4202766418457,74.88396453857422,-53.935218811035156
20746,-66.54374694824219,-2.9482421875,-3.755859375,-4.442626953125,-74.87023162841797,-7.175572395324707,0.442748099565506,-35.16140365600586,74.50961303710938,-54.09062957763672
20751,-66.65625,-2.9267578125,-3.75390625,-4.527587890625,-12.38167953491211,-7.358778476715088,2.3053436279296875,-34.84962844848633,74.44770812988281,-53.931827545166016
20756,-66.76875305175781,-2.9443359375,-3.660888671875,-4.474853515625,-97.45037841796875,-6.1984734535217285,2.4885497093200684,-34.34994888305664,73.96045684814453,-54.189605712890625
20761,-66.9375,-2.90966796875,-3.78759765625,-4.49462890625,-38.09160232543945,-7.755725383758545,0.442748099565506,-35.27566146850586,73.7699966430664,-54.16162109375
20766,-67.05000305175781,-2.90625,-3.677001953125,-4.53466796875,35.114501953125,-7.465648651123047,2.3816792964935303,-34.32097244262695,73.94557189941406,-53.76119613647461
20771,-67.1624984741211,-2.97021484375,-3.6474609375,-4.496337890625,-139.08396911621094,-5.389312744140625,2.2290077209472656,-34.09245300292969,73.25015258789062,-54.22377014160156
20776,-67.2750015258789,-2.906982421875,-3.86865234375,-4.513671875,-25.786258697509766,-8.351144790649414,-1.3587785959243774,-35.77589416503906,73.12122344970703,-54.14029312133789
20781,-67.38749694824219,-2.93505859375,-3.7109375,-4.547119140625,-57.435115814208984,-5.526717662811279,1.4503816366195679,-34.43741226196289,72.83404541015625,-54.19889831542969
20786,-67.5,-2.9326171875,-3.72509765625,-4.5302734375,-62.82442855834961,-7.312977313995361,0.9923664331436157,-34.61590576171875,72.5199203491211,-54.28551483154297
