Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-28.00184440612793,18.574657440185547,0.0,608.63427734375,-593.5752563476562,362.6707458496094,-27.948820114135742,18.52367401123047,0.0
10,-28.007801055908203,18.593730926513672,0.0,608.6722412109375,-593.6109619140625,362.69281005859375,-27.9593448638916,18.54084587097168,0.0
15,-27.998252868652344,18.67208480834961,0.0,608.7103271484375,-593.6463012695312,362.7176818847656,-27.946922302246094,18.561037063598633,0.0
20,-27.955331802368164,18.639680862426758,0.0,608.7479858398438,-593.6825561523438,362.7427978515625,-27.920801162719727,18.553508758544922,0.0
25,-28.019250869750977,18.656246185302734,0.0,608.7861328125,-593.718505859375,362.76568603515625,-27.90996551513672,18.54530143737793,0.0
30,-27.987903594970703,18.601896286010742,0.0,608.8256225585938,-593.7556762695312,362.7875061035156,-27.89007568359375,18.523759841918945,0.0
35,-28.02907371520996,18.609214782714844,0.0,608.8640747070312,-593.7930297851562,362.810546875,-27.876970291137695,18.503982543945312,0.0
40,-27.974069595336914,18.688262939453125,0.0,608.90283203125,-593.829833984375,362.83245849609375,-27.85519027709961,18.494844436645508,0.0
45,-27.980247497558594,18.668216705322266,0.0,608.9418334960938,-593.8670654296875,362.85498046875,-27.834430694580078,18.48101806640625,0.0
50,-27.98934555053711,18.595048904418945,0.0,608.9811401367188,-593.9039306640625,362.8775634765625,-27.814565658569336,18.459257125854492,0.0
55,-27.968957901000977,18.568222045898438,0.0,609.0189819335938,-593.9412841796875,362.9010009765625,-27.794208526611328,18.43524932861328,0.0
60,-28.02448272705078,18.707372665405273,0.0,609.0570068359375,-593.9775390625,362.9215393066406,-27.778593063354492,18.42473793029785,0.0
65,-27.98611831665039,18.556583404541016,0.0,609.0953979492188,-594.0120239257812,362.94482421875,-27.7591552734375,18.403059005737305,0.0
70,-27.999622344970703,18.683425903320312,0.0,609.1340942382812,-594.0482177734375,362.9669494628906,-27.740446090698242,18.389545440673828,0.0
75,-28.013633728027344,18.65122413635254,0.0,609.1734008789062,-594.083740234375,362.9886169433594,-27.722030639648438,18.373920440673828,0.0
81,-27.990516662597656,18.599720001220703,0.0,609.2131958007812,-594.1194458007812,363.009521484375,-27.70159339904785,18.354597091674805,0.0
86,-28.02600860595703,18.73663330078125,0.0,609.2584228515625,-594.1650390625,363.03802490234375,-27.678178787231445,18.33424186706543,0.0
91,-28.001995086669922,18.607202529907227,0.0,609.2977905273438,-594.2022094726562,363.0613708496094,-27.6590633392334,18.314376831054688,0.0
96,-28.077037811279297,18.58209228515625,0.0,609.3355712890625,-594.238525390625,363.0848083496094,-27.645389556884766,18.29412841796875,0.0
101,-27.99412727355957,18.63994598388672,0.0,609.37451171875,-594.275146484375,363.1067810058594,-27.625953674316406,18.276718139648438,0.0
106,-28.065481185913086,18.513595581054688,0.0,609.4122314453125,-594.3111572265625,363.12823486328125,-27.611112594604492,18.253765106201172,0.0
111,-28.037504196166992,18.647634506225586,0.0,609.4492797851562,-594.3469848632812,363.1490783691406,-27.595298767089844,18.237628936767578,0.0
116,-27.961164474487305,18.673887252807617,0.0,609.48681640625,-594.3831176757812,363.17303466796875,-27.57541275024414,18.22221565246582,0.0
121,-28.029939651489258,18.604494094848633,0.0,609.5255126953125,-594.4188232421875,363.1975402832031,-27.557430267333984,18.204050064086914,0.0
126,-28.01797866821289,18.661794662475586,0.0,609.5636596679688,-594.4541015625,363.21875,-27.53938865661621,18.188678741455078,0.0
131,-28.006549835205078,18.616254806518555,0.0,609.6029663085938,-594.4906005859375,363.240966796875,-27.519742965698242,18.170209884643555,0.0
136,-27.97355842590332,18.58555793762207,0.0,609.64111328125,-594.5300903320312,363.2637023925781,-27.499984741210938,18.147764205932617,0.0
141,-27.970130920410156,18.675708770751953,0.0,609.67919921875,-594.5662841796875,363.2869873046875,-27.480247497558594,18.131954193115234,0.0
146,-28.02735710144043,18.629926681518555,0.0,609.7178955078125,-594.602294921875,363.3101806640625,-27.46198844909668,18.114559173583984,0.0
151,-28.00223159790039,18.63909149169922,0.0,609.75634765625,-594.638427734375,363.3333740234375,-27.443052291870117,18.097379684448242,0.0
156,-28.05510711669922,18.59063148498535,0.0,609.7935791015625,-594.6748657226562,363.3548889160156,-27.427032470703125,18.07828712463379,0.0
161,-28.02246856689453,18.643009185791016,0.0,609.8317260742188,-594.7086791992188,363.3762512207031,-27.408952713012695,18.063446044921875,0.0
166,-27.921592712402344,18.653888702392578,0.0,609.8712158203125,-594.7446899414062,363.39959716796875,-27.386478424072266,18.046693801879883,0.0
171,-27.990976333618164,18.61178207397461,0.0,609.9086303710938,-594.78125,363.42431640625,-27.368263244628906,18.028114318847656,0.0
176,-28.027130126953125,18.605955123901367,0.0,609.9465942382812,-594.8182983398438,363.447509765625,-27.3505802154541,18.00896453857422,0.0
181,-27.98573112487793,18.623458862304688,0.0,609.9840698242188,-594.8529052734375,363.4705505371094,-27.332128524780273,17.992746353149414,0.0
186,-28.04581069946289,18.607694625854492,0.0,610.0221557617188,-594.8903198242188,363.490478515625,-27.31475257873535,17.973316192626953,0.0
191,-27.99008560180664,18.64337921142578,0.0,610.0606079101562,-594.9237670898438,363.5120849609375,-27.29545021057129,17.95877456665039,0.0
196,-28.023340225219727,18.604801177978516,0.0,610.099609375,-594.9593505859375,363.5342102050781,-27.276533126831055,17.941059112548828,0.0
201,-27.982080459594727,18.61702537536621,0.0,610.1382446289062,-594.994384765625,363.5574035644531,-27.25693702697754,17.92420196533203,0.0
206,-27.990406036376953,18.632474899291992,0.0,610.17626953125,-595.0317993164062,363.5799255371094,-27.238189697265625,17.905420303344727,0.0
211,-28.014001846313477,18.615877151489258,0.0,610.2161865234375,-595.0698852539062,363.60198974609375,-27.218177795410156,17.885601043701172,0.0
216,-28.032855987548828,18.64822769165039,0.0,610.2532958984375,-595.1060791015625,363.62335205078125,-27.2014102935791,17.868486404418945,0.0
