Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-23.163164138793945,24.083168029785156,0.0,99.29889678955078,-97.03742980957031,69.0774917602539,-22.784460067749023,23.708614349365234,0.0
10,-23.204118728637695,24.04378890991211,0.0,99.33645629882812,-97.07476043701172,69.1045150756836,-22.975160598754883,23.85725212097168,0.0
15,-23.173372268676758,24.091392517089844,0.0,99.37439727783203,-97.11041259765625,69.12879180908203,-23.0158634185791,23.911447525024414,0.0
20,-23.223054885864258,24.082534790039062,0.0,99.41172790527344,-97.14690399169922,69.1544418334961,-23.039627075195312,23.926820755004883,0.0
25,-23.21113395690918,24.048460006713867,0.0,99.44890594482422,-97.18232727050781,69.17879486083984,-23.044172286987305,23.922801971435547,0.0
30,-23.196338653564453,24.088729858398438,0.0,99.48554992675781,-97.2183609008789,69.2038345336914,-23.03899574279785,23.920427322387695,0.0
35,-23.235111236572266,24.059959411621094,0.0,99.5221939086914,-97.25660705566406,69.22826385498047,-23.035608291625977,23.907583236694336,0.0
40,-23.175546646118164,24.047882080078125,0.0,99.56013488769531,-97.29462432861328,69.25383758544922,-23.019912719726562,23.89186668395996,0.0
45,-23.19911003112793,24.06608009338379,0.0,99.59777069091797,-97.33172607421875,69.27864837646484,-23.00638771057129,23.87826156616211,0.0
50,-23.20660400390625,24.084199905395508,0.0,99.63525390625,-97.36722564697266,69.30376434326172,-22.992698669433594,23.866931915283203,0.0
55,-23.167577743530273,24.086748123168945,0.0,99.67235565185547,-97.40341186523438,69.3282699584961,-22.97489356994629,23.85405158996582,0.0
60,-23.165910720825195,24.04283332824707,0.0,99.70968627929688,-97.44112396240234,69.35399627685547,-22.95662498474121,23.835247039794922,0.0
65,-23.20881462097168,24.063310623168945,0.0,99.74808502197266,-97.47837829589844,69.37865447998047,-22.94062614440918,23.818443298339844,0.0
70,-23.183351516723633,24.071626663208008,0.0,99.78495788574219,-97.51509857177734,69.40308380126953,-22.92377471923828,23.802480697631836,0.0
75,-23.21245574951172,24.082109451293945,0.0,99.82221221923828,-97.55120849609375,69.42728424072266,-22.90831184387207,23.78748321533203,0.0
80,-23.20415496826172,24.065046310424805,0.0,99.8590087890625,-97.5876235961914,69.4516372680664,-22.89237403869629,23.77075958251953,0.0
85,-23.144559860229492,24.069934844970703,0.0,99.8969497680664,-97.62411499023438,69.47721099853516,-22.871564865112305,23.75408935546875,0.0
90,-23.218032836914062,24.06340217590332,0.0,99.93511962890625,-97.66106414794922,69.50179290771484,-22.854856491088867,23.736459732055664,0.0
95,-23.182287216186523,24.07021141052246,0.0,99.9709243774414,-97.69686889648438,69.52820587158203,-22.83826446533203,23.72020149230957,0.0
100,-23.212383270263672,24.066879272460938,0.0,100.00634765625,-97.73236846923828,69.55179595947266,-22.82343101501465,23.703916549682617,0.0
105,-23.204713821411133,24.11429214477539,0.0,100.0424575805664,-97.76969909667969,69.5767593383789,-22.80731773376465,23.688034057617188,0.0
110,-23.192485809326172,24.1014461517334,0.0,100.07902526855469,-97.80802154541016,69.60179901123047,-22.79004669189453,23.670381546020508,0.0
115,-23.21207618713379,24.043148040771484,0.0,100.11772918701172,-97.844970703125,69.62691497802734,-22.771520614624023,23.651376724243164,0.0
121,-23.21738052368164,24.06337547302246,0.0,100.15513610839844,-97.88260650634766,69.65088653564453,-22.754409790039062,23.632625579833984,0.0
126,-23.19446563720703,24.100053787231445,0.0,100.20075225830078,-97.92620849609375,69.6801986694336,-22.7283935546875,23.609647750854492,0.0
