Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-24.13283348083496,34.62258529663086,0.0,40.45850372314453,-36.20393753051758,24.644365310668945,-22.844860076904297,33.21027755737305,0.0
10,-24.099088668823242,34.697723388671875,0.0,40.49636459350586,-36.23889923095703,24.669403076171875,-23.446550369262695,33.928871154785156,0.0
15,-24.168598175048828,34.67483139038086,0.0,40.534915924072266,-36.27614974975586,24.69337272644043,-23.65984344482422,34.15095138549805,0.0
20,-24.136377334594727,34.68220901489258,0.0,40.57331466674805,-36.312408447265625,24.7145938873291,-23.749547958374023,34.25587463378906,0.0
25,-24.12114143371582,34.69075393676758,0.0,40.61262893676758,-36.349430084228516,24.73802947998047,-23.79210662841797,34.3128776550293,0.0
30,-24.162641525268555,34.62458038330078,0.0,40.65140914916992,-36.38629913330078,24.76070213317871,-23.82134437561035,34.33393096923828,0.0
35,-24.12893295288086,34.67243194580078,0.0,40.68934631347656,-36.42271041870117,24.783143997192383,-23.832651138305664,34.350955963134766,0.0
40,-24.152721405029297,34.728233337402344,0.0,40.72682571411133,-36.45835876464844,24.807723999023438,-23.839784622192383,34.3668327331543,0.0
45,-24.15160369873047,34.664794921875,0.0,40.76483917236328,-36.495914459228516,24.83039665222168,-23.840591430664062,34.36650848388672,0.0
50,-24.152393341064453,34.69376754760742,0.0,40.80438232421875,-36.534542083740234,24.85329818725586,-23.836156845092773,34.36444091796875,0.0
55,-24.134868621826172,34.66703414916992,0.0,40.843467712402344,-36.57179260253906,24.875587463378906,-23.827774047851562,34.35807800292969,0.0
60,-24.169923782348633,34.62567901611328,0.0,40.88316345214844,-36.607669830322266,24.897724151611328,-23.81990623474121,34.347496032714844,0.0
65,-24.179597854614258,34.655235290527344,0.0,40.922325134277344,-36.643470764160156,24.92039680480957,-23.811447143554688,34.338138580322266,0.0
70,-24.154830932617188,34.67109680175781,0.0,40.96049118041992,-36.67698287963867,24.941617965698242,-23.80056381225586,34.330833435058594,0.0
75,-24.170583724975586,34.670631408691406,0.0,40.998504638671875,-36.71270751953125,24.964672088623047,-23.789794921875,34.320186614990234,0.0
80,-24.13394546508789,34.68690490722656,0.0,41.037208557128906,-36.74820327758789,24.98657989501953,-23.775074005126953,34.30988311767578,0.0
85,-24.15809440612793,34.68147659301758,0.0,41.07514572143555,-36.78721237182617,25.011465072631836,-23.761964797973633,34.29509353637695,0.0
90,-24.184396743774414,34.59178924560547,0.0,41.11491775512695,-36.82514953613281,25.035816192626953,-23.747957229614258,34.27580642700195,0.0
95,-24.117429733276367,34.6748161315918,0.0,41.15300750732422,-36.864158630371094,25.059709548950195,-23.731399536132812,34.25994110107422,0.0
101,-24.1304874420166,34.66808319091797,0.0,41.19779968261719,-36.90702819824219,25.090213775634766,-23.708906173706055,34.23973083496094,0.0
106,-24.1403751373291,34.66490936279297,0.0,41.23367691040039,-36.94282913208008,25.114412307739258,-23.695404052734375,34.22600173950195,0.0
111,-24.112585067749023,34.720558166503906,0.0,41.27092742919922,-36.981075286865234,25.137237548828125,-23.67893409729004,34.212120056152344,0.0
116,-24.151079177856445,34.68573760986328,0.0,41.3099365234375,-37.01649475097656,25.160520553588867,-23.66230010986328,34.19898223876953,0.0
121,-24.153888702392578,34.67066192626953,0.0,41.34665298461914,-37.051761627197266,25.18319320678711,-23.64775848388672,34.184993743896484,0.0
