Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
5,-17.58538246154785,28.922182083129883,0.0,97.64607238769531,-93.49512481689453,65.031494140625,-17.19999122619629,28.512758255004883,0.0
10,-17.618043899536133,28.940959930419922,0.0,97.68470001220703,-93.53428649902344,65.05340576171875,-17.389326095581055,28.706892013549805,0.0
15,-17.63030242919922,28.911514282226562,0.0,97.72294616699219,-93.57054901123047,65.07569885253906,-17.44405746459961,28.750843048095703,0.0
20,-17.56673812866211,28.913516998291016,0.0,97.76233673095703,-93.60673522949219,65.09898376464844,-17.445158004760742,28.764341354370117,0.0
25,-17.609636306762695,28.909929275512695,0.0,97.80104064941406,-93.64299774169922,65.1221923828125,-17.44707489013672,28.764436721801758,0.0
30,-17.589868545532227,28.917810440063477,0.0,97.83928680419922,-93.67803955078125,65.14578247070312,-17.43899917602539,28.76079559326172,0.0
35,-17.574766159057617,28.933876037597656,0.0,97.87654113769531,-93.71491241455078,65.16960144042969,-17.42646598815918,28.753921508789062,0.0
40,-17.603212356567383,28.94265365600586,0.0,97.91539764404297,-93.75125122070312,65.19441223144531,-17.41457176208496,28.745729446411133,0.0
45,-17.660545349121094,28.92116355895996,0.0,97.95303344726562,-93.78766632080078,65.21685791015625,-17.408470153808594,28.732872009277344,0.0
50,-17.62744903564453,28.882183074951172,0.0,97.9914321899414,-93.82354736328125,65.24143981933594,-17.39583396911621,28.715530395507812,0.0
55,-17.58393096923828,28.857162475585938,0.0,98.02960205078125,-93.85912322998047,65.26419067382812,-17.37826156616211,28.696088790893555,0.0
60,-17.619152069091797,28.914770126342773,0.0,98.0678482055664,-93.89561462402344,65.286865234375,-17.36331558227539,28.680896759033203,0.0
65,-17.660436630249023,28.896638870239258,0.0,98.10800170898438,-93.93340301513672,65.30976867675781,-17.349157333374023,28.66265106201172,0.0
70,-17.579933166503906,28.914793014526367,0.0,98.1472396850586,-93.97218322753906,65.33320617675781,-17.329254150390625,28.64470100402832,0.0
75,-17.609203338623047,28.882137298583984,0.0,98.18785095214844,-94.00959014892578,65.35450744628906,-17.310073852539062,28.625669479370117,0.0
80,-17.586097717285156,28.875774383544922,0.0,98.22647857666016,-94.04623413085938,65.375732421875,-17.29117774963379,28.607006072998047,0.0
85,-17.605770111083984,28.92485809326172,0.0,98.26411437988281,-94.08333587646484,65.39764404296875,-17.27433967590332,28.590864181518555,0.0
90,-17.580642700195312,28.910736083984375,0.0,98.30350494384766,-94.12127685546875,65.42070007324219,-17.254236221313477,28.572887420654297,0.0
96,-17.587215423583984,28.898366928100586,0.0,98.3416748046875,-94.15860748291016,65.44551086425781,-17.235694885253906,28.554744720458984,0.0
101,-17.61004066467285,28.930709838867188,0.0,98.3860092163086,-94.2034912109375,65.4725341796875,-17.212411880493164,28.531021118164062,0.0
106,-17.60091209411621,28.930694580078125,0.0,98.42326354980469,-94.2402114868164,65.49635314941406,-17.195560455322266,28.515213012695312,0.0
111,-17.63688850402832,28.983320236206055,0.0,98.4605941772461,-94.27777099609375,65.51849365234375,-17.180137634277344,28.500797271728516,0.0
116,-17.619592666625977,28.925100326538086,0.0,98.49853515625,-94.31548309326172,65.54154968261719,-17.163110733032227,28.48332405090332,0.0
121,-17.595876693725586,28.945240020751953,0.0,98.53868865966797,-94.35395812988281,65.56468200683594,-17.142822265625,28.465869903564453,0.0
126,-17.598892211914062,28.953136444091797,0.0,98.57655334472656,-94.39136505126953,65.5872802734375,-17.12489128112793,28.449636459350586,0.0
131,-17.576372146606445,28.932435989379883,0.0,98.61396026611328,-94.42991638183594,65.60987854003906,-17.106470108032227,28.431331634521484,0.0
136,-17.567575454711914,28.91973114013672,0.0,98.65228271484375,-94.4651870727539,65.63316345214844,-17.086837768554688,28.415660858154297,0.0
141,-17.574628829956055,28.955881118774414,0.0,98.69007110595703,-94.50297546386719,65.65492248535156,-17.068031311035156,28.398746490478516,0.0
146,-17.6553955078125,28.92825698852539,0.0,98.72770690917969,-94.54022979736328,65.67973327636719,-17.05220603942871,28.381271362304688,0.0
151,-17.58061408996582,28.967937469482422,0.0,98.76519012451172,-94.5758056640625,65.70431518554688,-17.033828735351562,28.3667049407959,0.0
156,-17.59473991394043,28.927358627319336,0.0,98.80267333984375,-94.61359405517578,65.72988891601562,-17.015913009643555,28.348485946655273,0.0
161,-17.59442901611328,28.925230026245117,0.0,98.84000396728516,-94.650390625,65.75401306152344,-16.998109817504883,28.33114242553711,0.0
166,-17.609561920166016,28.907072067260742,0.0,98.87802124023438,-94.68840789794922,65.78004455566406,-16.980079650878906,28.31201934814453,0.0
171,-17.605602264404297,28.906593322753906,0.0,98.91695404052734,-94.72764587402344,65.8037109375,-16.96101188659668,28.291730880737305,0.0
