Filename,Acc_low_X_mean,Acc_low_X_variance,Acc_low_X_max,Acc_low_X_min,Acc_low_X_slope,Acc_low_X_intercept,Acc_low_Y_mean,Acc_low_Y_variance,Acc_low_Y_max,Acc_low_Y_min,Acc_low_Y_slope,Acc_low_Y_intercept,Acc_low_Z_mean,Acc_low_Z_variance,Acc_low_Z_max,Acc_low_Z_min,Acc_low_Z_slope,Acc_low_Z_intercept,Gyro_low_X_mean,Gyro_low_X_variance,Gyro_low_X_max,Gyro_low_X_min,Gyro_low_X_slope,Gyro_low_X_intercept,Gyro_low_Y_mean,Gyro_low_Y_variance,Gyro_low_Y_max,Gyro_low_Y_min,Gyro_low_Y_slope,Gyro_low_Y_intercept,Gyro_low_Z_mean,Gyro_low_Z_variance,Gyro_low_Z_max,Gyro_low_Z_min,Gyro_low_Z_slope,Gyro_low_Z_intercept,Acc_X_mean,Acc_X_variance,Acc_X_max,Acc_X_min,Acc_X_slope,Acc_X_intercept,Acc_Y_mean,Acc_Y_variance,Acc_Y_max,Acc_Y_min,Acc_Y_slope,Acc_Y_intercept,Acc_Z_mean,Acc_Z_variance,Acc_Z_max,Acc_Z_min,Acc_Z_slope,Acc_Z_intercept,Gyro_X_mean,Gyro_X_variance,Gyro_X_max,Gyro_X_min,Gyro_X_slope,Gyro_X_intercept,Gyro_Y_mean,Gyro_Y_variance,Gyro_Y_max,Gyro_Y_min,Gyro_Y_slope,Gyro_Y_intercept,Gyro_Z_mean,Gyro_Z_variance,Gyro_Z_max,Gyro_Z_min,Gyro_Z_slope,Gyro_Z_intercept,Euler_X_mean,Euler_X_variance,Euler_X_max,Euler_X_min,Euler_X_slope,Euler_X_intercept,Euler_Y_mean,Euler_Y_variance,Euler_Y_max,Euler_Y_min,Euler_Y_slope,Euler_Y_intercept,Euler_Z_mean,Euler_Z_variance,Euler_Z_max,Euler_Z_min,Euler_Z_slope,Euler_Z_intercept
imu_data_x+.csv,-1.931331591796875,5.322012326717403e-06,-1.921875,-1.939453125,3.3292426312530685e-09,-1.9314158477130703,-2.8450621826171876,4.583674663901592e-06,-2.837158203125,-2.853515625,5.34566255906831e-10,-2.845075711330666,-4.9402512939453125,1.4324318022132333e-05,-4.925048828125,-4.95458984375,1.622716086438261e-08,-4.94066196822091,7.491621366214752,0.03122888375139695,8.244275093078613,6.7633585929870605,-2.5168393565084685e-07,7.497990941201818,-7.411322131490707,0.07606526225587933,-6.396946430206299,-8.458015441894531,6.377131424875178e-07,-7.427461269138916,4.706761842417717,0.039117231980012324,5.526717662811279,3.9389312267303462,9.494387400265012e-07,4.68273360543634,-28.207509856796264,0.0005601210189779031,-28.104232788085938,-28.297155380249023,-6.897196105166257e-08,-28.205764325931185,18.715125985908507,0.0005492851951718525,18.80596923828125,18.626873016357425,1.3762544585884247e-08,18.71477768572985,0.0,0.0,0.0,0.0,0.0,0.0,211.96353630886077,11983.414317129713,401.50579833984375,22.31450462341309,0.007491328665674458,22.374242238991627,-210.98155184173584,11720.399235851974,-23.29076385498047,-398.40478515625,-0.007408660475729264,-23.484410509145107,135.2351679517746,4731.462660234902,254.557373046875,16.317480087280273,0.0047072349298374,16.10525292640645,-22.72655701789856,0.32941061544595784,-22.585037231445312,-27.728090286254883,1.2656156045596048e-05,-23.04685690025683,13.29399804906845,0.3229813685677904,18.297609329223636,13.148189544677734,-1.2331667318263339e-05,13.60608582493745,0.0,0.0,0.0,0.0,0.0,0.0
imu_data_x-.csv,-3.9282889404296877,5.358909830451056e-06,-3.910888671875,-3.942138671875,-8.421258763670361e-09,-3.9280758212256757,-2.8338019287109373,4.721334142088981e-06,-2.82568359375,-2.842041015625,-2.595387510570537e-09,-2.8337362464969265,-4.916750659179687,1.399943742215649e-05,-4.901123046875,-4.930419921875,-9.438177335545875e-09,-4.916511804526538,7.453589304733276,0.030358779911933014,8.106870651245117,6.778625965118408,6.020458047958513e-07,7.438353159366208,-7.194919076395035,0.0481791960013469,-6.366412162780762,-8.0,6.107473475315376e-08,-7.196464712174807,4.725125197768211,0.0561894011042353,5.557251930236816,3.832061052322388,2.291152114956886e-07,4.719326913583939,-24.24142810974121,0.0003936496663955906,-24.156272888183597,-24.30900382995605,2.341061440023499e-08,-24.242020568855274,34.6916651096344,0.0005014624159154148,34.81070709228516,34.556243896484375,1.271917063144265e-08,34.691343221945544,0.0,0.0,0.0,0.0,0.0,0.0,254.1248675605774,11861.009781657107,442.895263671875,65.62442779541016,0.0074529674385141135,65.51048904541332,-251.5433969490051,11058.02302367185,-69.45252227783203,-433.6261291503906,-0.007196265870245387,-69.42543843866622,159.18731129455566,4775.197011086019,278.8250732421875,39.64809036254883,0.0047289423827891084,39.510613935790204,-18.79028024120331,0.33863129333113207,-18.64156723022461,-24.03190040588379,1.3471706870993824e-05,-19.131212579895713,29.42980324497223,0.3147131796780979,34.490325927734375,29.290542602539062,-1.2485439741680196e-05,29.7457758393507,0.0,0.0,0.0,0.0,0.0,0.0
imu_data_y+.csv,-2.9147706298828124,5.538630470633644e-06,-2.867431640625,-2.945556640625,1.0758380319630474e-09,-2.9147978566978083,-1.8237062744140624,9.471743058562329e-06,-1.72607421875,-1.8994140625,-3.2134034625409295e-09,-1.823624951074506,-4.944016870117188,1.5059978508353264e-05,-4.91015625,-4.98974609375,3.4176162691987413e-09,-4.944103361580701,7.455140448141098,0.03645576537227013,9.389312744140623,5.572519302368164,2.041800425058829e-07,7.449973153364416,-7.294280905151367,0.035147078498617056,-6.549618244171143,-8.106870651245117,-1.6789550147537318e-07,-7.290031882880853,4.7722626008033755,0.044865932664587854,6.183206081390381,2.6870229244232178,-1.6383186174640896e-07,4.7764087823452455,-17.6281431388855,0.000865838403055022,-16.7310791015625,-18.30362892150879,-3.893206621391601e-08,-17.627157864027467,28.94804469985962,0.0007782256105462417,29.324626922607425,28.35916328430176,6.45859478115881e-10,28.948028354744462,0.0,0.0,0.0,0.0,0.0,0.0,218.91401768245697,11871.133694827611,407.629638671875,30.289588928222656,0.007456150534286258,30.21718307945065,-215.17426767177582,11364.250442034567,-30.60775756835937,-399.816650390625,-0.007295229665398619,-30.549944539806944,141.93857489299774,4863.555993402555,262.6861572265625,21.126352310180664,0.004772495301134079,21.1584548644892,-12.175239300632477,0.3350323186990259,-12.03493309020996,-17.304370880126953,1.3068540563480733e-05,-12.505971925446074,23.612671119689942,0.3192663466008266,28.606889724731445,23.47115707397461,-1.2760260472688884e-05,23.935601933497168,0.0,0.0,0.0,0.0,0.0,0.0
imu_data_y-.csv,-2.9361030517578124,4.789481186270798e-06,-2.927978515625,-2.945068359375,4.235707233559555e-09,-2.9362102488488375,-3.8264655517578126,5.768366550803189e-06,-3.8173828125,-3.834716796875,4.02312329767587e-09,-3.826567368784006,-4.925175708007813,1.3456273788809595e-05,-4.909423828125,-4.937744140625,-1.1681025406059448e-09,-4.925146145720462,7.498116024160385,0.03033817976420991,8.213740348815918,6.85496187210083,-1.1313182386903564e-07,7.500979159347123,-7.327775563621521,0.03466720188206378,-6.6259541511535645,-8.076335906982422,6.710097228399932e-09,-7.32794538246492,4.684758786082268,0.049618345241309536,5.541984558105469,3.786259651184082,6.038743908786533e-07,4.669475959749547,-33.716620824050906,0.0005016786314720125,-33.62687301635742,-33.79114532470703,2.2418525155546514e-08,-33.717188191092404,25.20925346336365,0.00039584206646989587,25.2793025970459,25.13994407653809,-2.6377420500142773e-08,25.209921021953146,0.0,0.0,0.0,0.0,0.0,0.0,213.24730554580688,12000.271375885888,402.9767150878906,23.46870231628418,0.007496594734635769,23.523818100791573,-207.95718561019896,11470.429792253542,-22.50687026977539,-393.406005859375,-0.007329230013930914,-22.469357102525038,133.29744315776824,4687.123686498745,251.9967498779297,14.860306739807127,0.004685128662560718,14.726414516881349,-28.231371517944336,0.33015113636455723,-28.09488296508789,-33.25445556640625,1.2829457107286171e-05,-28.556058850070585,19.848696914100646,0.31775427755092844,24.78158569335937,19.70990562438965,-1.2670779544795806e-05,20.169368441504805,0.0,0.0,0.0,0.0,0.0,0.0
imu_data_z+.csv,-2.9089978759765627,4.126675242781477e-06,-2.900634765625,-2.916748046875,3.5883267644322275e-09,-2.909088686350117,-2.8002451904296874,4.192304701209194e-06,-2.792724609375,-2.807373046875,-3.0302458355569454e-09,-2.80016850350167,-3.9210284912109374,1.5871914071440905e-05,-3.904541015625,-3.93505859375,-4.235817074857939e-09,-3.9209212946939735,7.463784725666046,0.031858562079365264,8.09160327911377,6.809160232543945,-3.3180581956913137e-09,7.463868696308634,-7.318128236579895,0.03678675177052951,-6.610687255859375,-8.0,1.7695729489963724e-07,-7.322606523845221,4.7503145113945004,0.039053900976137146,5.4809160232543945,4.0,-4.3727854600137566e-07,4.7613807912281105,-29.836508909606934,0.0006438977190885569,-29.744922637939453,-29.941104888916016,-2.0358901342985986e-08,-29.835993683553824,31.12113597278595,0.0006273307041569178,31.209115982055664,31.022336959838867,-5.86746831820639e-08,31.12262086261002,0.0,0.0,0.0,0.0,0.0,0.0,221.46584984054564,11904.1885008378,410.3632507324219,32.58283996582031,0.007466522325287153,32.509345591494565,-214.92127205734252,11441.14018260966,-29.68378448486328,-400.0923767089844,-0.00731986574374962,-29.6762299542755,140.9262595495224,4825.026313545798,261.0581359863281,20.60848617553711,0.004753551360137765,20.627356171448056,-24.37653847427368,0.3325170089414838,-24.236968994140625,-29.46551322937012,1.2942041082771576e-05,-24.704064829155914,25.767903124427797,0.31946037580222186,30.751070022583008,25.62546730041504,-1.2645755052180162e-05,26.087931320172572,0.0,0.0,0.0,0.0,0.0,0.0
imu_data_z-.csv,-2.9559492431640626,4.2720057004690215e-06,-2.948486328125,-2.963134765625,1.5652765365366073e-09,-2.955988855987717,-2.8489740478515624,4.267307204604194e-06,-2.841552734375,-2.857177734375,-2.3845261641138476e-09,-2.848913702083748,-5.945425512695312,1.463377616345807e-05,-5.93115234375,-5.9580078125,3.337906133459896e-09,-5.945509985875581,7.395790831327439,0.030197837546965815,8.0,6.793893337249756,5.192480154068316e-08,7.394476758089441,-7.306977088880539,0.03545349318734046,-6.6259541511535645,-8.0,-3.358707458749819e-07,-7.298477128447662,4.876201529216766,0.038315704263134125,5.72519063949585,4.076335906982422,-7.588613553801737e-07,4.8954062130839695,-23.223265036964417,0.00035588911440211774,-23.15679168701172,-23.297504425048828,-2.8901226476286664e-08,-23.22253362678795,24.14963576335907,0.000352357792750367,24.22759056091309,24.080307006835938,-4.911479957314373e-09,24.149760059344406,0.0,0.0,0.0,0.0,0.0,0.0,230.1362560874939,11681.959751854894,417.3205871582031,42.98564910888672,0.0073965017149279265,42.95123717550712,-227.47942765846253,11404.483706251807,-42.6382942199707,-412.4764099121094,-0.007308130772999492,-42.5308330824235,150.06196372756958,5075.927298991873,273.3087463378906,26.486106872558597,0.004875576808983741,26.674587861145042,-17.814009110832213,0.33111368303810085,-17.676111221313477,-22.96076774597168,1.2888545528398623e-05,-18.14018258194927,18.80543793582916,0.3244311349103454,23.87997055053711,18.661842346191406,-1.2971411324627907e-05,19.13370851125744,0.0,0.0,0.0,0.0,0.0,0.0
