Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
0,-2.90673828125,-2.801025390625,-3.9208984375,7.893129825592041,-7.190839767456055,4.992366313934326,-29.850744247436523,31.099611282348633,0.0,32.58283996582031,-29.68378448486328,20.60848617553711,-27.855680465698242,29.157276153564453,0.0
5,-2.90673828125,-2.8017578125,-3.916259765625,7.282442569732666,-7.541984558105469,4.687022686004639,-29.87610626220703,31.117225646972656,0.0,32.6192512512207,-29.721494674682617,20.631921768188477,-28.831012725830078,30.102201461791992,0.0
10,-2.91064453125,-2.79833984375,-3.92529296875,7.190839767456055,-7.43511438369751,4.946564674377441,-29.797386169433594,31.1230411529541,0.0,32.65520477294922,-29.758670806884766,20.656654357910156,-29.12555694580078,30.41388511657715,0.0
15,-2.908447265625,-2.7978515625,-3.919921875,7.41984748840332,-7.160305500030518,4.732824325561523,-29.8215274810791,31.128395080566406,0.0,32.69230270385742,-29.794471740722656,20.68031883239746,-29.270254135131836,30.56415557861328,0.0
20,-2.91015625,-2.79736328125,-3.919921875,7.328244209289551,-7.511450290679932,4.534351348876953,-29.812053680419922,31.144784927368164,0.0,32.72894287109375,-29.832029342651367,20.702991485595703,-29.348573684692383,30.649457931518555,0.0
25,-2.91064453125,-2.80126953125,-3.92041015625,7.343511581420898,-7.282442569732666,4.824427604675293,-29.843095779418945,31.13499641418457,0.0,32.76565933227539,-29.868440628051758,20.727113723754883,-29.399948120117188,30.69959831237793,0.0
30,-2.904052734375,-2.798583984375,-3.9189453125,7.160305500030518,-7.2366414070129395,4.656488418579102,-29.845237731933594,31.092012405395508,0.0,32.80146026611328,-29.90462303161621,20.750396728515625,-29.432592391967773,30.72439193725586,0.0
35,-2.90380859375,-2.800537109375,-3.921875,7.755725383758545,-7.2366414070129395,4.748091697692871,-29.851295471191406,31.07137680053711,0.0,32.840240478515625,-29.940805435180664,20.774137496948242,-29.450809478759766,30.735946655273438,0.0
40,-2.907470703125,-2.799560546875,-3.92041015625,7.511450290679932,-7.068702220916748,4.85496187210083,-29.83758544921875,31.112564086914062,0.0,32.8777961730957,-29.97614860534668,20.798412322998047,-29.460275650024414,30.74625587463379,0.0
45,-2.906494140625,-2.79931640625,-3.918701171875,7.3740458488464355,-7.190839767456055,4.793893337249756,-29.845333099365234,31.112112045288086,0.0,32.91466522216797,-30.012102127075195,20.8223819732666,-29.465513229370117,30.750402450561523,0.0
50,-2.9091796875,-2.7998046875,-3.922119140625,7.43511438369751,-7.221374034881592,4.56488561630249,-29.827632904052734,31.119396209716797,0.0,32.951839447021484,-30.048208236694336,20.84520721435547,-29.464584350585938,30.751070022583008,0.0
55,-2.90771484375,-2.79833984375,-3.91943359375,7.557251930236816,-7.3740458488464355,4.931297779083252,-29.83003807067871,31.122608184814453,0.0,32.9896240234375,-30.085079193115234,20.869863510131836,-29.460372924804688,30.74820327758789,0.0
60,-2.909423828125,-2.798095703125,-3.925537109375,7.5877861976623535,-7.41984748840332,5.099236488342285,-29.797914505004883,31.11210823059082,0.0,33.02756118774414,-30.12217903137207,20.89535903930664,-29.45130729675293,30.741941452026367,0.0
66,-2.912353515625,-2.799072265625,-3.921142578125,7.282442569732666,-7.389312744140625,4.6259541511535645,-29.815561294555664,31.153467178344727,0.0,33.06397247314453,-30.15912628173828,20.918489456176758,-29.44352149963379,30.737035751342773,0.0
71,-2.910888671875,-2.796630859375,-3.9169921875,7.404580116271973,-7.557251930236816,4.473282337188721,-29.81528091430664,31.16597557067871,0.0,33.1083984375,-30.204469680786133,20.945329666137695,-29.426868438720703,30.723344802856445,0.0
76,-2.91064453125,-2.8017578125,-3.916748046875,7.847328186035156,-7.404580116271973,4.5190839767456055,-29.8623046875,31.149187088012695,0.0,33.14763641357422,-30.241493225097656,20.967926025390625,-29.417346954345703,30.71529769897461,0.0
81,-2.906982421875,-2.80029296875,-3.92431640625,7.465648651123047,-7.41984748840332,4.977099418640137,-29.829631805419922,31.089353561401367,0.0,33.18496322631836,-30.278593063354492,20.99281120300293,-29.406524658203125,30.702436447143555,0.0
86,-2.91162109375,-2.800048828125,-3.918212890625,7.4809160232543945,-7.007633686065674,4.931297779083252,-29.838302612304688,31.156654357910156,0.0,33.22236633300781,-30.313631057739258,21.017467498779297,-29.3952579498291,30.69465446472168,0.0
91,-2.90625,-2.7998046875,-3.918212890625,7.70992374420166,-7.190839767456055,5.114503860473633,-29.852373123168945,31.11058235168457,0.0,33.26091766357422,-30.349584579467773,21.043039321899414,-29.382884979248047,30.682565689086914,0.0
96,-2.91064453125,-2.798095703125,-3.920654296875,7.312977313995361,-7.43511438369751,4.870229244232178,-29.814075469970703,31.143659591674805,0.0,33.297481536865234,-30.386760711669922,21.06739044189453,-29.369800567626953,30.6704044342041,0.0
101,-2.90771484375,-2.799560546875,-3.9150390625,7.389312744140625,-7.496183395385742,4.778625965118408,-29.858713150024414,31.13770294189453,0.0,33.33442687988281,-30.42424201965332,21.091283798217773,-29.35801124572754,30.657072067260742,0.0
106,-2.909912109375,-2.8046875,-3.91455078125,7.312977313995361,-7.465648651123047,4.458015441894531,-29.899333953857422,31.143232345581055,0.0,33.37099075317383,-30.461570739746094,21.11357307434082,-29.347854614257812,30.643665313720703,0.0
111,-2.905517578125,-2.800537109375,-3.931884765625,7.221374034881592,-7.282442569732666,4.641221523284912,-29.805418014526367,31.043489456176758,0.0,33.40709686279297,-30.497982025146484,21.13677978515625,-29.333343505859375,30.62633514404297,0.0
116,-2.91015625,-2.800537109375,-3.91845703125,7.114503860473633,-7.3740458488464355,4.671755790710449,-29.846046447753906,31.141347885131836,0.0,33.44266891479492,-30.534852981567383,21.160139083862305,-29.320772171020508,30.61261558532715,0.0
121,-2.91015625,-2.797607421875,-3.919677734375,7.389312744140625,-7.190839767456055,4.931297779083252,-29.815202713012695,31.145084381103516,0.0,33.4796142578125,-30.5708065032959,21.184795379638672,-29.305240631103516,30.599571228027344,0.0
126,-2.91259765625,-2.7978515625,-3.918701171875,7.41984748840332,-7.129770755767822,4.641221523284912,-29.813961029052734,31.169795989990234,0.0,33.5167121887207,-30.606454849243164,21.2080020904541,-29.289308547973633,30.587419509887695,0.0
