Time,Roll_angle,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_Roll,Gyro_Roll,Kalman_Roll
40646,90.0,0.01643657684326172,0.9995872974395752,-0.048913706094026566,1.3668608665466309,0.006762981414794922,-2.265137195587158,84.2221450805664,25.868141174316406,84.47767639160156
40651,90.0,0.01570415496826172,1.0010498762130737,-0.0467444509267807,0.9088454246520996,-0.31384801864624023,-2.3872745037078857,84.35717010498047,25.869749069213867,84.47789001464844
40656,90.0,0.012774467468261719,1.0010498762130737,-0.049395762383937836,0.9699139595031738,0.1136331558227539,-2.34147310256958,84.25959777832031,25.8714656829834,84.47708892822266
40661,90.0,0.01765727996826172,0.9959307909011841,-0.04819061979651451,1.5348000526428223,-0.13064193725585938,-2.448343276977539,84.22725677490234,25.874181747436523,84.47692108154297
40666,90.0,0.013506889343261719,0.9981247186660767,-0.048431649804115295,1.1683878898620605,-0.3596491813659668,-2.5094120502471924,84.29349517822266,25.876249313354492,84.47686767578125
40671,90.0,0.01643657684326172,0.9981247186660767,-0.046503420919179916,0.9241127967834473,-0.13064193725585938,-2.1429996490478516,84.34829711914062,25.877883911132812,84.47701263427734
40676,90.0,0.015460014343261719,0.9995872974395752,-0.055662501603364944,1.3515934944152832,-0.45125246047973633,-2.234602689743042,83.8696517944336,25.88027572631836,84.47242736816406
40681,90.0,0.014971733093261719,0.9964183568954468,-0.05011884868144989,1.1225857734680176,-0.08484029769897461,-2.097198247909546,84.17228698730469,25.882261276245117,84.47095489501953
40686,90.0,0.013018608093261719,0.9934931993484497,-0.050359874963760376,1.1989216804504395,-0.08484029769897461,-2.0361294746398926,84.18024444580078,25.884382247924805,84.4697265625
40691,90.0,0.013506889343261719,0.9949557781219482,-0.054698389023542404,1.0004487037658691,-0.40545082092285156,-2.555213451385498,83.93626403808594,25.886152267456055,84.46537780761719
40696,90.0,0.012530326843261719,0.9988560080528259,-0.043611079454422,1.427929401397705,-0.5275883674621582,-1.8681905269622803,84.57627868652344,25.8886775970459,84.4691390991211
40701,90.0,0.012042045593261719,0.997149646282196,-0.055180445313453674,0.7409062385559082,-0.3291149139404297,-2.2804043292999268,83.93548583984375,25.88998794555664,84.4643325805664
40706,90.0,0.012286186218261719,1.000562310218811,-0.05252913013100624,1.4737305641174316,-0.08484029769897461,-2.372007369995117,84.0910873413086,25.892595291137695,84.462646484375
40711,90.0,0.010821342468261719,0.9939807057380676,-0.04746753349900246,1.6722044944763184,-0.4970541000366211,-2.601015090942383,84.3731689453125,25.895553588867188,84.46454620361328
40716,90.0,0.013995170593261719,0.9949557781219482,-0.04770856350660324,1.1683878898620605,-0.23751211166381836,-2.4330761432647705,84.31654357910156,25.897621154785156,84.46489715576172
40721,90.0,0.011553764343261719,0.9934931993484497,-0.04770856350660324,1.076784610748291,0.06783151626586914,-2.3872745037078857,84.3486557006836,25.899526596069336,84.4654541015625
40726,90.0,0.013995170593261719,0.997637152671814,-0.048431649804115295,1.290524959564209,-0.0543060302734375,-2.448343276977539,84.2844467163086,25.901809692382812,84.46563720703125
40731,90.0,0.009844779968261719,0.9986122250556946,-0.050359874963760376,0.9393801689147949,0.03729724884033203,-2.2956714630126953,84.23576354980469,25.903470993041992,84.46465301513672
40736,90.0,0.01765727996826172,1.0008060932159424,-0.0467444509267807,1.0615172386169434,-0.4207181930541992,-2.478877544403076,84.31900024414062,25.905349731445312,84.46484375
40741,90.0,0.012286186218261719,0.9988560080528259,-0.05108296126127243,1.687471866607666,-0.31384801864624023,-2.127732515335083,84.16631317138672,25.908334732055664,84.4643783569336
40746,90.0,0.013506889343261719,1.0008060932159424,-0.053252216428518295,1.2752575874328613,0.12890005111694336,-2.020862340927124,84.03524017333984,25.91059112548828,84.46170043945312
