Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
534,-3.932617188,-2.806640625,-4.91796875,461,-481,319
539,-3.931640625,-2.811523438,-4.915283203,464,-500,319
544,-3.931396484,-2.806640625,-4.916015625,473,-499,352
549,-3.928710938,-2.807373047,-4.915771484,473,-493,339
554,-3.933837891,-2.810302734,-4.91796875,471,-502,313
559,-3.931152344,-2.808349609,-4.920166016,475,-495,344
564,-3.937988281,-2.809814453,-4.912109375,470,-481,343
570,-3.931884766,-2.810058594,-4.915283203,470,-491,342
575,-3.9296875,-2.808349609,-4.914550781,479,-466,333
580,-3.934570313,-2.810058594,-4.918945313,454,-498,314
585,-3.931152344,-2.809814453,-4.917480469,464,-482,340
590,-3.929931641,-2.810546875,-4.917724609,491,-477,359
595,-3.936279297,-2.812744141,-4.911621094,486,-512,353
600,-3.933105469,-2.806884766,-4.917480469,467,-512,341
605,-3.932373047,-2.809570313,-4.912841797,501,-501,340
610,-3.935546875,-2.804931641,-4.913330078,485,-516,333
615,-3.931152344,-2.807861328,-4.916015625,477,-489,348
620,-3.931396484,-2.806884766,-4.913818359,480,-488,319
625,-3.935546875,-2.808837891,-4.912353516,482,-471,343
630,-3.934814453,-2.811279297,-4.915039063,465,-468,331
635,-3.929443359,-2.806152344,-4.918212891,470,-488,344
640,-3.934814453,-2.812011719,-4.906005859,477,-484,336
645,-3.937744141,-2.807617188,-4.918457031,471,-507,344
650,-3.931396484,-2.808105469,-4.918457031,476,-501,325
655,-3.931640625,-2.810791016,-4.916015625,459,-507,331
660,-3.935058594,-2.808105469,-4.912841797,483,-511,332
665,-3.931884766,-2.807128906,-4.918945313,464,-474,363
670,-3.933349609,-2.80859375,-4.924316406,484,-512,344
675,-3.933349609,-2.806884766,-4.919677734,492,-493,335
680,-3.931152344,-2.811767578,-4.911865234,478,-483,335
685,-3.936767578,-2.811279297,-4.917480469,466,-484,339
690,-3.931396484,-2.810058594,-4.913574219,507,-488,356
695,-3.933105469,-2.807373047,-4.915039063,495,-479,375
700,-3.937255859,-2.809326172,-4.920654297,480,-499,331
706,-3.934570313,-2.806640625,-4.920654297,483,-483,336
711,-3.932617188,-2.808105469,-4.909912109,480,-507,355
716,-3.937255859,-2.809082031,-4.9140625,478,-509,341
721,-3.929931641,-2.808105469,-4.922363281,493,-479,343
726,-3.935302734,-2.811523438,-4.923095703,497,-496,350
731,-3.939697266,-2.809814453,-4.912109375,464,-484,331
736,-3.932128906,-2.807617188,-4.912109375,490,-487,365
741,-3.929443359,-2.809082031,-4.919677734,486,-468,341
746,-3.9296875,-2.805419922,-4.918701172,481,-499,349
751,-3.931152344,-2.810546875,-4.918212891,466,-475,358
756,-3.936035156,-2.810302734,-4.914550781,492,-501,351
761,-3.934570313,-2.809570313,-4.916748047,488,-509,339
766,-3.934326172,-2.806396484,-4.916748047,483,-500,345
771,-3.932861328,-2.807861328,-4.921630859,480,-511,316
776,-3.931640625,-2.807861328,-4.922119141,474,-480,322
781,-3.932128906,-2.805664063,-4.91796875,473,-498,333
786,-3.930908203,-2.811767578,-4.917724609,475,-486,322
791,-3.930664063,-2.814697266,-4.913574219,472,-471,343
796,-3.933837891,-2.805419922,-4.918701172,461,-485,327
801,-3.934570313,-2.804931641,-4.909423828,475,-486,347
806,-3.931396484,-2.810546875,-4.915039063,486,-494,325
811,-3.934082031,-2.810058594,-4.922119141,484,-477,329
816,-3.930908203,-2.807373047,-4.924072266,458,-495,316
821,-3.931640625,-2.807373047,-4.917724609,476,-488,348
826,-3.931884766,-2.807861328,-4.909912109,478,-483,341
831,-3.931640625,-2.806884766,-4.913330078,485,-503,341
836,-3.935546875,-2.80859375,-4.922119141,479,-496,340
842,-3.934082031,-2.811523438,-4.915771484,466,-496,350
847,-3.931396484,-2.806884766,-4.912353516,491,-471,358
852,-3.933105469,-2.807128906,-4.917236328,472,-485,337
857,-3.926025391,-2.807861328,-4.916015625,492,-488,335
862,-3.934814453,-2.805664063,-4.922119141,476,-504,336
867,-3.935058594,-2.810058594,-4.914550781,466,-486,340
872,-3.930664063,-2.810546875,-4.912353516,464,-489,331
877,-3.9296875,-2.810791016,-4.916503906,474,-494,340
882,-3.931884766,-2.809570313,-4.923095703,464,-497,333
887,-3.933349609,-2.810058594,-4.918701172,467,-487,362
892,-3.930908203,-2.810546875,-4.91796875,474,-481,349
897,-3.934570313,-2.807617188,-4.919921875,494,-494,337
902,-3.930175781,-2.810058594,-4.916992188,499,-491,337
907,-3.929443359,-2.811035156,-4.911865234,506,-494,322
912,-3.930908203,-2.808837891,-4.920898438,476,-475,330
917,-3.933837891,-2.80859375,-4.916503906,472,-487,356
922,-3.927490234,-2.809326172,-4.916503906,491,-476,362
927,-3.933349609,-2.805664063,-4.920898438,470,-461,317
932,-3.935791016,-2.805419922,-4.917480469,473,-488,347
937,-3.931884766,-2.814208984,-4.918701172,468,-487,328
942,-3.933349609,-2.810058594,-4.917236328,482,-497,353
947,-3.93359375,-2.812011719,-4.916992188,474,-499,323
952,-3.92578125,-2.810302734,-4.919677734,473,-509,346
957,-3.936523438,-2.812744141,-4.922119141,487,-496,329
962,-3.936523438,-2.809326172,-4.912841797,490,-492,326
967,-3.931640625,-2.809326172,-4.915283203,491,-481,333
972,-3.936279297,-2.810058594,-4.921142578,491,-510,334
978,-3.935058594,-2.807373047,-4.912353516,477,-469,336
983,-3.931152344,-2.807617188,-4.91796875,478,-485,325
988,-3.935791016,-2.811767578,-4.914306641,478,-471,334
993,-3.9296875,-2.806884766,-4.918701172,495,-497,326
998,-3.938720703,-2.805175781,-4.913574219,464,-479,329
1003,-3.932373047,-2.808349609,-4.922607422,467,-471,326
1008,-3.930175781,-2.80859375,-4.915771484,478,-484,318
1013,-3.931152344,-2.807617188,-4.917724609,459,-477,335
1018,-3.934082031,-2.812744141,-4.916503906,471,-476,330
1023,-3.930908203,-2.810058594,-4.926757813,483,-492,323
1028,-3.93359375,-2.806396484,-4.919433594,478,-496,356
1033,-3.937255859,-2.805664063,-4.916992188,459,-492,351
1038,-3.927246094,-2.809326172,-4.913818359,471,-477,338
1043,-3.933105469,-2.810058594,-4.919677734,478,-489,341
1048,-3.932128906,-2.804931641,-4.916015625,472,-488,344
1053,-3.930175781,-2.808837891,-4.916015625,471,-496,354
1058,-3.937744141,-2.813232422,-4.917480469,486,-468,355
1063,-3.938720703,-2.806884766,-4.923339844,492,-486,355
1068,-3.932128906,-2.808837891,-4.914550781,480,-475,329
1073,-3.938232422,-2.808105469,-4.918701172,477,-495,337
1078,-3.933105469,-2.804931641,-4.918701172,469,-494,330
1083,-3.932373047,-2.809082031,-4.920166016,486,-496,348
1088,-3.931152344,-2.811523438,-4.910400391,501,-503,342
1093,-3.931884766,-2.810791016,-4.920166016,489,-483,357
1098,-3.933105469,-2.807617188,-4.918945313,476,-501,353
1103,-3.930664063,-2.807617188,-4.914794922,481,-485,337
1108,-3.930175781,-2.812744141,-4.917724609,482,-494,345
1114,-3.933105469,-2.803466797,-4.911865234,486,-486,335
1119,-3.931640625,-2.810058594,-4.9140625,487,-474,303
1124,-3.93359375,-2.808349609,-4.917480469,466,-477,341
1129,-3.935546875,-2.804199219,-4.917480469,478,-494,372
1134,-3.931884766,-2.807128906,-4.915039063,453,-502,341
1139,-3.936279297,-2.810546875,-4.914794922,488,-516,362
1144,-3.933837891,-2.808349609,-4.918212891,471,-512,325
1149,-3.934570313,-2.809082031,-4.908935547,479,-511,330
1154,-3.932128906,-2.813232422,-4.916259766,486,-486,342
1159,-3.928466797,-2.807861328,-4.913574219,484,-513,332
1164,-3.93359375,-2.808837891,-4.917724609,501,-494,348
1169,-3.932617188,-2.810791016,-4.919677734,487,-484,322
1174,-3.934326172,-2.808349609,-4.918212891,486,-490,340
1179,-3.937011719,-2.811035156,-4.920166016,454,-491,344
1184,-3.932861328,-2.809814453,-4.921386719,472,-474,354
1189,-3.932128906,-2.808349609,-4.918457031,478,-503,341
1194,-3.936523438,-2.805175781,-4.911376953,461,-471,344
1199,-3.932128906,-2.809082031,-4.911376953,476,-495,331
1204,-3.928466797,-2.809570313,-4.908447266,458,-511,335
1209,-3.93359375,-2.811279297,-4.908203125,465,-486,309
1214,-3.930419922,-2.805664063,-4.910644531,477,-486,326
1219,-3.930175781,-2.807373047,-4.923339844,481,-522,343
1224,-3.934326172,-2.807861328,-4.917236328,477,-490,344
1229,-3.936035156,-2.807128906,-4.912109375,464,-474,353
1234,-3.935058594,-2.80859375,-4.916503906,449,-470,328
1239,-3.931396484,-2.811279297,-4.923095703,483,-513,319
