Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
534,-2.957763672,-2.842773438,-5.948242188,500,-497,336
539,-2.958496094,-2.848876953,-5.943847656,515,-479,310
544,-2.956787109,-2.843017578,-5.944335938,500,-460,321
549,-2.958740234,-2.84375,-5.947753906,511,-488,319
554,-2.956298828,-2.844970703,-5.943115234,494,-491,325
559,-2.959472656,-2.846923828,-5.94921875,504,-505,342
564,-2.955322266,-2.847167969,-5.952392578,479,-480,322
569,-2.959472656,-2.841308594,-5.946533203,488,-478,307
574,-2.959960938,-2.84375,-5.947998047,477,-496,331
579,-2.961181641,-2.842285156,-5.946777344,496,-474,316
584,-2.961914063,-2.841796875,-5.946533203,501,-494,329
589,-2.956542969,-2.843505859,-5.948486328,481,-468,301
594,-2.957275391,-2.844482422,-5.945556641,506,-494,309
599,-2.961425781,-2.843994141,-5.942626953,512,-481,344
604,-2.957763672,-2.845703125,-5.947265625,492,-488,335
609,-2.960205078,-2.847412109,-5.944824219,503,-496,324
614,-2.956054688,-2.845947266,-5.942382813,510,-500,330
619,-2.959228516,-2.845703125,-5.940429688,490,-488,298
624,-2.960693359,-2.849365234,-5.947021484,496,-474,348
629,-2.955322266,-2.843505859,-5.942626953,469,-490,321
634,-2.959472656,-2.845214844,-5.942138672,474,-471,322
639,-2.957763672,-2.844482422,-5.937255859,498,-501,339
644,-2.956054688,-2.841552734,-5.948730469,494,-464,323
649,-2.953613281,-2.842285156,-5.948730469,494,-477,302
654,-2.957763672,-2.844726563,-5.942626953,506,-481,325
659,-2.956787109,-2.844970703,-5.942138672,498,-491,314
664,-2.956787109,-2.845214844,-5.948730469,481,-475,323
670,-2.956054688,-2.847167969,-5.944580078,483,-490,312
675,-2.959472656,-2.849365234,-5.941162109,492,-501,318
680,-2.958740234,-2.841796875,-5.949707031,469,-498,322
685,-2.955810547,-2.844238281,-5.947998047,484,-482,343
690,-2.958251953,-2.839355469,-5.954833984,492,-487,329
695,-2.958251953,-2.841064453,-5.954345703,479,-466,319
700,-2.957275391,-2.844482422,-5.945556641,487,-492,315
705,-2.95703125,-2.843017578,-5.949462891,507,-472,314
710,-2.956787109,-2.842529297,-5.949951172,508,-491,300
715,-2.958251953,-2.845458984,-5.940673828,486,-494,324
720,-2.956054688,-2.847900391,-5.951416016,479,-468,328
725,-2.960693359,-2.847900391,-5.947998047,472,-484,311
730,-2.959228516,-2.845947266,-5.942871094,486,-494,309
735,-2.956542969,-2.846435547,-5.948974609,484,-485,313
740,-2.957763672,-2.840087891,-5.944335938,492,-474,311
745,-2.955078125,-2.841552734,-5.944335938,498,-502,317
750,-2.957519531,-2.84375,-5.947509766,475,-478,320
755,-2.960449219,-2.840332031,-5.955566406,501,-477,328
760,-2.95703125,-2.848632813,-5.951416016,504,-474,324
765,-2.956054688,-2.844238281,-5.952880859,512,-483,326
770,-2.957275391,-2.845458984,-5.944824219,480,-478,312
775,-2.958007813,-2.844970703,-5.950439453,481,-476,325
780,-2.956787109,-2.845214844,-5.951416016,482,-504,306
785,-2.955810547,-2.844726563,-5.940429688,468,-501,320
790,-2.958740234,-2.843994141,-5.940673828,507,-482,311
795,-2.960205078,-2.844482422,-5.945068359,486,-482,319
800,-2.959472656,-2.842773438,-5.950195313,495,-489,343
806,-2.959472656,-2.844970703,-5.939208984,502,-491,320
811,-2.955810547,-2.841552734,-5.952148438,488,-470,326
816,-2.959228516,-2.844970703,-5.947021484,501,-504,323
821,-2.958496094,-2.847167969,-5.944824219,497,-484,325
826,-2.959472656,-2.843994141,-5.950439453,483,-486,341
831,-2.95703125,-2.848388672,-5.949951172,496,-480,303
836,-2.958007813,-2.846191406,-5.938720703,490,-492,307
841,-2.957763672,-2.841064453,-5.942871094,483,-503,328
846,-2.958496094,-2.843994141,-5.944824219,508,-490,319
851,-2.957763672,-2.84765625,-5.94921875,479,-468,311
856,-2.957519531,-2.844238281,-5.950927734,492,-478,336
861,-2.955810547,-2.844238281,-5.949951172,509,-466,312
866,-2.957519531,-2.848144531,-5.948242188,474,-491,331
871,-2.958984375,-2.846435547,-5.948730469,496,-473,331
876,-2.958984375,-2.846679688,-5.952148438,485,-495,301
881,-2.955810547,-2.846923828,-5.943115234,486,-516,307
886,-2.958007813,-2.843261719,-5.945068359,489,-499,318
891,-2.959228516,-2.846435547,-5.953369141,500,-493,320
896,-2.954345703,-2.843017578,-5.950439453,533,-490,340
901,-2.960205078,-2.843994141,-5.946044922,497,-477,313
906,-2.959472656,-2.846923828,-5.943847656,512,-488,337
911,-2.958007813,-2.846435547,-5.94921875,510,-489,309
916,-2.958007813,-2.846191406,-5.940185547,498,-480,341
921,-2.959228516,-2.843994141,-5.951171875,494,-476,309
926,-2.956787109,-2.844238281,-5.947753906,480,-463,317
931,-2.957763672,-2.842285156,-5.955810547,494,-494,314
936,-2.958740234,-2.848632813,-5.941650391,479,-509,297
942,-2.953613281,-2.845947266,-5.945800781,475,-461,324
947,-2.957763672,-2.844726563,-5.951171875,490,-498,341
952,-2.958251953,-2.844238281,-5.949462891,501,-499,316
