Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
534,-1.930175781,-2.843994141,-4.946289063,491,-472,329
539,-1.927734375,-2.841308594,-4.941650391,486,-481,321
544,-1.926513672,-2.843017578,-4.942626953,481,-499,345
549,-1.930908203,-2.842529297,-4.943603516,485,-485,337
554,-1.9375,-2.842773438,-4.945556641,481,-495,342
559,-1.931396484,-2.842529297,-4.94140625,490,-489,343
565,-1.934326172,-2.840576172,-4.94140625,489,-493,359
570,-1.930175781,-2.839111328,-4.939697266,466,-490,341
575,-1.928222656,-2.839111328,-4.945556641,477,-498,358
580,-1.930419922,-2.838378906,-4.941650391,504,-498,333
585,-1.932617188,-2.841552734,-4.945068359,469,-486,344
590,-1.9296875,-2.845214844,-4.942382813,482,-493,332
595,-1.933105469,-2.841552734,-4.942871094,483,-480,335
600,-1.928955078,-2.839599609,-4.942871094,480,-482,333
605,-1.930175781,-2.842529297,-4.938232422,504,-491,376
610,-1.932128906,-2.840087891,-4.939453125,445,-469,338
615,-1.930664063,-2.840576172,-4.940185547,473,-483,342
620,-1.928222656,-2.840087891,-4.936523438,501,-508,323
625,-1.937011719,-2.843261719,-4.936279297,469,-521,332
630,-1.9296875,-2.840576172,-4.939941406,477,-493,335
635,-1.931640625,-2.842773438,-4.943115234,488,-502,313
640,-1.929931641,-2.842773438,-4.937988281,483,-483,334
645,-1.930419922,-2.842041016,-4.935302734,465,-485,316
650,-1.927246094,-2.843017578,-4.939941406,486,-479,348
655,-1.932128906,-2.843994141,-4.940429688,478,-487,339
660,-1.932128906,-2.838378906,-4.941650391,492,-474,341
665,-1.931152344,-2.839111328,-4.938476563,478,-497,331
670,-1.929931641,-2.840820313,-4.936279297,491,-510,337
675,-1.933105469,-2.842285156,-4.945556641,486,-494,329
680,-1.93359375,-2.840576172,-4.943115234,468,-514,348
685,-1.931152344,-2.843505859,-4.946289063,472,-510,324
690,-1.932128906,-2.841796875,-4.943847656,474,-487,330
695,-1.929443359,-2.843017578,-4.934814453,504,-497,343
701,-1.932861328,-2.842285156,-4.946044922,457,-476,313
706,-1.927246094,-2.842041016,-4.939941406,473,-490,338
711,-1.930664063,-2.845947266,-4.946289063,466,-495,332
716,-1.932128906,-2.83984375,-4.944091797,493,-502,343
721,-1.931640625,-2.842041016,-4.938476563,476,-486,352
726,-1.933349609,-2.844238281,-4.937744141,482,-486,317
731,-1.93359375,-2.842529297,-4.942871094,485,-473,349
736,-1.930175781,-2.841552734,-4.937744141,487,-504,340
741,-1.932373047,-2.842041016,-4.947265625,464,-505,348
746,-1.929199219,-2.843505859,-4.937988281,468,-500,330
751,-1.931640625,-2.842529297,-4.943847656,474,-498,341
756,-1.933105469,-2.840820313,-4.943359375,478,-508,338
761,-1.93359375,-2.843261719,-4.937744141,489,-518,339
766,-1.936279297,-2.840332031,-4.934814453,490,-501,342
771,-1.928710938,-2.841796875,-4.944091797,486,-485,339
776,-1.930664063,-2.844726563,-4.942382813,484,-482,339
781,-1.928710938,-2.844238281,-4.936767578,473,-490,328
786,-1.931396484,-2.842529297,-4.939208984,483,-488,353
791,-1.934570313,-2.843261719,-4.943847656,484,-495,369
796,-1.931640625,-2.842285156,-4.936279297,476,-495,337
801,-1.927246094,-2.841796875,-4.939453125,490,-513,314
806,-1.932617188,-2.842773438,-4.94140625,460,-459,307
811,-1.928466797,-2.842041016,-4.940185547,475,-497,320
816,-1.931396484,-2.843017578,-4.930908203,473,-500,333
821,-1.932373047,-2.843017578,-4.939697266,469,-481,342
826,-1.928466797,-2.837402344,-4.938232422,484,-483,346
831,-1.927734375,-2.843505859,-4.946533203,489,-480,357
837,-1.934082031,-2.842041016,-4.935546875,471,-481,347
842,-1.9296875,-2.842529297,-4.945556641,509,-469,317
847,-1.928222656,-2.839599609,-4.940917969,478,-488,342
