Time,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z
534,-2.946289063,-3.825683594,-4.932861328,441,-460,368
539,-2.947509766,-3.829589844,-4.932373047,453,-497,380
544,-2.952392578,-3.823730469,-4.932861328,464,-501,400
549,-2.946777344,-3.827636719,-4.935791016,449,-489,380
554,-2.945556641,-3.824462891,-4.933349609,472,-503,387
559,-2.951416016,-3.823242188,-4.935302734,458,-493,366
564,-2.948974609,-3.82421875,-4.932373047,442,-481,393
569,-2.946044922,-3.827148438,-4.937744141,447,-495,373
574,-2.944824219,-3.82421875,-4.924072266,470,-478,368
579,-2.944824219,-3.822753906,-4.934082031,468,-504,374
584,-2.945800781,-3.825927734,-4.937011719,463,-499,399
589,-2.949951172,-3.823974609,-4.932617188,438,-483,386
594,-2.945068359,-3.822509766,-4.934326172,454,-495,377
599,-2.946533203,-3.827392578,-4.938964844,453,-501,403
604,-2.947509766,-3.828857422,-4.929931641,467,-492,381
609,-2.948242188,-3.825927734,-4.932373047,465,-465,391
614,-2.949462891,-3.828369141,-4.933349609,462,-471,370
619,-2.947998047,-3.823242188,-4.93359375,462,-490,361
624,-2.947753906,-3.823486328,-4.937988281,466,-474,386
629,-2.947509766,-3.825927734,-4.935302734,448,-480,374
634,-2.945800781,-3.825683594,-4.933349609,436,-472,378
639,-2.942871094,-3.826660156,-4.925292969,460,-466,395
644,-2.948730469,-3.830078125,-4.930664063,449,-492,365
650,-2.947998047,-3.822509766,-4.932861328,463,-467,375
655,-2.945556641,-3.823242188,-4.931152344,463,-486,400
660,-2.947265625,-3.825195313,-4.932617188,452,-460,390
665,-2.948730469,-3.82421875,-4.9375,440,-492,361
670,-2.948242188,-3.826171875,-4.931396484,459,-496,375
675,-2.950927734,-3.826171875,-4.935546875,455,-489,376
680,-2.949951172,-3.823974609,-4.927001953,481,-495,390
685,-2.948730469,-3.825927734,-4.9375,459,-471,387
690,-2.945800781,-3.826171875,-4.930664063,456,-469,378
695,-2.949707031,-3.821777344,-4.942138672,456,-488,392
700,-2.944091797,-3.825683594,-4.938720703,462,-495,399
705,-2.946289063,-3.827148438,-4.930419922,445,-472,399
