,0,180,90,-90
Time,68408.5,29288.5,21413.5,20213.5
Roll_angle,0.0,180.0,90.0,-90.0
Acc_low_X,0.009493542989095036,0.0038005091349283702,0.014879692077636699,-0.000972277323404899
Acc_low_Y,0.0007807190676345722,-0.006575185734788294,0.9975863029758135,-1.0032075323065122
Acc_low_Z,0.9949212564826012,-1.0044139972726505,-0.004836034430677759,0.01055812950352351
Gyro_low_X,1.3006826238632203,1.211766590277354,1.3250948368708293,1.803812407652537
Gyro_low_Y,-0.14957303603490193,-0.1704788932800293,-0.1458071405092875,-0.22272825527191162
Gyro_low_Z,-2.382511195341746,-2.3357987264792124,-2.423666411399841,-3.2679055996735893
Acc_Roll,0.0449512006974158,-0.37506982683204115,89.079259668986,-89.38023863983155
Gyro_Roll,99.41210014343261,568.8354110107422,296.5204749145508,-213.9906908162435
Kalman_Roll,0.6059096750219662,0.14780710181842244,89.65274720509846,-88.60124318949381
