,offset,scale,noise_covariance
Acc_low_X,-0.0032118810017903,116.75059382422849,6.145887780586889e-06
Acc_low_Y,0.0038706277211507,116.47393364929,5.149877551794003e-06
Acc_low_Z,-0.0044306325276693,71.4418604651167,1.4498275090058604e-05
Gyro_low_X,-0.0021069694836934,,0.0307159645721029
Gyro_low_Y,-0.0566411122322082,,0.0398940290245153
Gyro_low_Z,0.1385204693396886,,0.0491626360582694
Acc_X,0.169796899831793,344.4069403581461,0.0209875004936169
Acc_Y,0.3565443784618436,327.9566526336369,0.0239151195857156
Acc_Z,0.0,1.0,0.0
Gyro_X,-0.9838314779499742,205.8218226495312,0.3669152684599094
Gyro_Y,2.009491268628129,251.49498464772648,0.2359251876583814
Gyro_Z,-3.280984647530317,86.94408302401503,2.2666326393556964
