Time,Acc_low_X,Acc_low_Y,Acc_low_Z,Gyro_low_X,Gyro_low_Y,Gyro_low_Z,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Euler_X,Euler_Y,Euler_Z
0,0.013224601745605469,0.019162416458129883,1.011697769165039,0.34185266494750977,-0.019343852996826172,0.3466658592224121,1.0850083827972412,-0.748775839805603,0.0,2.1864895820617676,-0.12372328341007233,2.2172749042510986,1.0999484062194824,-0.7402979135513306,0.0
5,0.01566600799560547,0.019650697708129883,1.004129409790039,-0.3146357536315918,-0.5994963645935059,0.026055335998535156,1.1209923028945923,-0.8936612606048584,0.0,2.1849164962768555,-0.12672077119350433,2.217405080795288,1.1096067428588867,-0.8179665803909302,0.0
10,0.01639842987060547,0.018429994583129883,1.006082534790039,-0.009292125701904297,-0.04987812042236328,0.07185697555541992,1.049320101737976,-0.9336411356925964,0.0,2.1848700046539307,-0.12697015702724457,2.217764377593994,1.0895702838897705,-0.8565183281898499,0.0
15,0.015177726745605469,0.013547182083129883,1.009988784790039,0.03650951385498047,-0.1109471321105957,0.27032995223999023,0.768386960029602,-0.8608769178390503,0.0,2.1850526332855225,-0.12752489745616913,2.219115972518921,1.009674072265625,-0.8580209016799927,0.0
20,0.015177726745605469,0.008664369583129883,1.004129409790039,-0.05509376525878906,-0.4773592948913574,0.19399404525756836,0.4943215250968933,-0.8659452795982361,0.0,2.18477725982666,-0.12991169095039368,2.220085859298706,0.9066381454467773,-0.8615124821662903,0.0
25,0.01810741424560547,0.012326478958129883,1.013406753540039,0.3265857696533203,0.11806058883666992,-0.004478931427001953,0.6967663168907166,-1.0235686302185059,0.0,2.1864101886749268,-0.1293213814496994,2.2200634479522705,0.8730865120887756,-0.8879789710044861,0.0
30,0.01761913299560547,0.015500307083129883,1.018533706665039,0.03650951385498047,0.2249307632446289,0.0107879638671875,0.8717441558837891,-0.9909190535545349,0.0,2.1865928173065186,-0.12819673120975494,2.2201173305511475,0.8730515241622925,-0.9017001390457153,0.0
35,0.013957023620605469,0.012814760208129883,1.008523941040039,0.20444822311401367,0.0569920539855957,0.3466658592224121,0.7279171347618103,-0.7928051352500916,0.0,2.187615156173706,-0.127911776304245,2.221850633621216,0.8558213114738464,-0.8878516554832458,0.0
40,0.014689445495605469,0.012814760208129883,1.009500503540039,0.17391395568847656,-0.06514549255371094,-0.11134910583496094,0.7272056937217712,-0.8335964679718018,0.0,2.1884846687316895,-0.1282375007867813,2.2212939262390137,0.8423110842704773,-0.8821159601211548,0.0
45,0.013468742370605469,0.013547182083129883,1.008279800415039,0.05177640914916992,-0.23308420181274414,-0.14188337326049805,0.7697073817253113,-0.7652504444122314,0.0,2.1887435913085938,-0.12940292060375214,2.2205843925476074,0.8352844715118408,-0.8714795708656311,0.0
50,0.014201164245605469,0.010617494583129883,1.005105972290039,0.18918085098266602,0.0569920539855957,0.026055335998535156,0.6051643490791321,-0.8094342947006226,0.0,2.1896893978118896,-0.1291179656982422,2.220714569091797,0.815217912197113,-0.865578293800354,0.0
55,0.010539054870605469,0.011349916458129883,1.007059097290039,0.05177640914916992,-0.15674829483032227,0.30086469650268555,0.6456812620162964,-0.5995506644248962,0.0,2.189948320388794,-0.1299017071723938,2.2222189903259277,0.8013167977333069,-0.8441115021705627,0.0
60,0.015421867370605469,0.018185853958129883,1.007547378540039,-0.2535672187805176,-0.1109471321105957,0.22452878952026367,1.0339341163635254,-0.8767776489257812,0.0,2.188680410385132,-0.13045644760131836,2.223341703414917,0.818061113357544,-0.8471392393112183,0.0
65,0.009318351745605469,0.012326478958129883,1.011453628540039,0.05177640914916992,-0.2178173065185547,0.30086469650268555,0.6981934309005737,-0.5278022289276123,0.0,2.188939332962036,-0.1315455287694931,2.224846124649048,0.8097255825996399,-0.8253036737442017,0.0
70,0.012736320495605469,0.015256166458129883,1.010232925415039,0.021242141723632812,-0.04987812042236328,-0.1571507453918457,0.865125298500061,-0.7222250699996948,0.0,2.1890454292297363,-0.13179491460323334,2.224060297012329,0.8135257363319397,-0.8186501264572144,0.0
75,0.014689445495605469,0.012814760208129883,1.004373550415039,-0.08562803268432617,-0.09567975997924805,0.10239124298095703,0.7309166193008423,-0.8378503918647766,0.0,2.18861722946167,-0.13227331638336182,2.22457218170166,0.8079479932785034,-0.8203016519546509,0.0
80,0.012980461120605469,0.020627260208129883,1.009256362915039,-0.1466965675354004,-0.04987812042236328,-0.17241811752319336,1.1707557439804077,-0.7367101311683655,0.0,2.1878838539123535,-0.13252270221710205,2.223710060119629,0.8286656141281128,-0.8156039118766785,0.0
85,0.010050773620605469,0.021115541458129883,1.002176284790039,0.4029216766357422,-0.6452980041503906,-0.09608221054077148,1.2069649696350098,-0.5744696259498596,0.0,2.1898984909057617,-0.1357491910457611,2.2232296466827393,0.8516610860824585,-0.8052053451538086,0.0
90,0.012003898620605469,0.019650697708129883,1.001688003540039,-0.039826393127441406,-0.26361894607543945,0.33139896392822266,1.1237798929214478,-0.6864488124847412,0.0,2.189699411392212,-0.1370672881603241,2.224886655807495,0.865854799747467,-0.8001771569252014,0.0
